contig00001	174017	175999
contig00001	171961	173785
contig00001	149699	151507
contig00001	1	1418
contig00001	298536	299580
contig00001	298545	299024
contig00001	298545	299024
contig00001	299479	299580
contig00001	299487	299580
contig00001	299487	299580
contig00001	299487	299580
contig00002	29599	31041
contig00002	38771	39997
contig00002	40305	41283
contig00002	37995	38689
contig00002	299182	299307
contig00002	299182	299307
contig00002	299182	299307
contig00002	1	91
contig00003	7008	9089
contig00003	77360	78676
contig00003	208132	208755
contig00004	169607	169788
contig00004	1	126
contig00004	1	126
contig00004	1	126
contig00004	175062	175114
contig00004	175062	175114
contig00004	175062	175114
contig00004	175062	175114
contig00005	1	654
contig00006	1	1028
contig00006	4387	4578
contig00006	1	91
contig00006	1	89
contig00006	1	80
contig00006	3	83
contig00006	3	83
contig00006	3	83
contig00007	1	94
contig00007	892	982
contig00007	893	982
contig00007	893	982
contig00007	893	982
contig00007	896	982
contig00008	1	970
contig00008	1	246
contig00008	880	970
contig00008	881	970
contig00008	881	970
contig00008	881	970
contig00008	884	970
contig00009	1	126
contig00010	39	881
contig00010	39	881
contig00010	39	881
contig00010	39	881
contig00010	385	418
contig00011	1	842
contig00011	1	842
contig00011	1	842
contig00011	456	507
contig00012	1	680
contig00012	1	680
contig00012	587	680
contig00012	1	91
contig00012	1	91
contig00012	1	91
contig00012	1	91
contig00013	1	612
contig00013	1	612
contig00013	1	612
contig00014	1	468
contig00014	340	468
contig00015	1	428
contig00015	1	428
contig00015	3	428
contig00016	1	371
contig00016	269	371
contig00017	144	234
contig00017	144	234
contig00018	1	223
contig00019	1	212
contig00020	1	203
contig00021	113	202
contig00021	113	202
contig00021	113	202
contig00021	1	53
contig00021	1	53
contig00021	1	53
contig00021	1	53
contig00023	102	192
contig00023	102	192
contig00023	102	192
contig00023	1	43
contig00023	1	43
contig00023	1	43
contig00023	1	43
contig00024	1	94
contig00024	1	91
contig00024	86	174
contig00025	1	123
contig00001	473207	475189
contig00001	471151	472975
contig00001	448889	450697
contig00001	268123	269565
contig00001	299073	300611
contig00001	259167	260393
contig00001	597726	598770
contig00001	257881	258859
contig00001	260475	261169
contig00001	597735	598214
contig00001	597735	598214
