Bin Id	Marker lineage	genomes	markers	marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
ERR7123584	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5210582	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5210581	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5210570	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5210569	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5210568	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5207031	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5207029	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5207019	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5207017	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5207012	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5207011	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR5207009	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993362	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993359	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993358	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993357	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993356	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993355	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993354	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993353	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993352	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993351	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993350	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4993349	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4899245	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR4899230	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
