ERR3684451	ERR3684451	0
ERR3684451	ERR3684453	17
ERR3684451	ERR3684460	0
ERR3684451	ERR3684466	24
ERR3684451	ERR3684469	19
ERR3684451	ERR3684471	18
ERR3684451	ERR3684472	18
ERR3684451	ERR3684478	19
ERR3684451	ERR3684482	1
ERR3684451	ERR3684483	18
ERR3684451	ERR3684484	22
ERR3684451	ERR3684489	1
ERR3684451	ERR3684491	19
ERR3684451	ERR3684499	2
ERR3684451	ERR3684519	1
ERR3684451	ERR3684520	2
ERR3684451	ERR3684526	2
ERR3684451	ERR3684540	2
ERR3684451	ERR3684544	11
ERR3684451	ERR3684555	6
ERR3684451	ERR3684565	2
ERR3684451	ERR3684571	5
ERR3684451	ERR3684572	5
ERR3684451	ERR3684573	3
ERR3684451	ERR3684583	3
ERR3684451	ERR3684585	1
ERR3684451	ERR3684599	3
ERR3684451	ERR3684610	2
ERR3684451	ERR3684613	3
ERR3684451	ERR3684616	3
ERR3684451	ERR3684619	2
ERR3684451	ERR3684622	8
ERR3684451	ERR3684626	5
ERR3684451	ERR3684642	5
ERR3684451	ERR3684654	3
ERR3684451	ERR3684661	4
ERR3684451	ERR3684665	11
ERR3684451	ERR3684666	4
ERR3684451	ERR3684669	6
ERR3684451	ERR3684700	3
ERR3684451	ERR3684706	2
ERR3684451	ERR3684723	20
ERR3684451	ERR3684741	9
ERR3684451	ERR4045378	3
ERR3684451	ERR4045383	20
ERR3684451	ERR4045387	3
ERR3684451	ERR4045389	8
ERR3684451	ERR4045390	2
ERR3684451	ERR4045395	18
ERR3684451	ERR4853530	22
ERR3684451	ERR4853540	19
ERR3684451	ERR4853551	1
ERR3684451	ERR4853555	2
ERR3684451	ERR4853561	1
ERR3684451	ERR4853566	18
ERR3684451	ERR4853569	22
ERR3684451	ERR4853570	19
ERR3684451	ERR4853572	18
ERR3684451	ERR4853573	18
ERR3684451	ERR4853589	2
ERR3684451	ERR4853594	1
ERR3684451	ERR4853601	6
ERR3684451	ERR4853602	1
ERR3684451	ERR4853605	6
ERR3684451	ERR4853617	173
ERR3684451	ERR4853640	2
ERR3684451	ERR4853641	2
ERR3684451	ERR4853643	3
ERR3684451	ERR4853645	2
ERR3684451	ERR4853652	1
ERR3684451	ERR4853661	2
ERR3684451	ERR4853662	3
ERR3684451	ERR4853663	4
ERR3684451	ERR4853666	2
ERR3684451	ERR4853668	4
ERR3684451	ERR4853671	7
ERR3684451	ERR4853677	4
ERR3684451	ERR4899203	2
ERR3684451	ERR4899206	18
ERR3684451	ERR4899211	173
ERR3684451	ERR4899217	17
ERR3684451	ERR4899222	3
ERR3684451	ERR4899224	5
ERR3684451	ERR4899228	4
ERR3684451	ERR4899236	4
ERR3684451	ERR4993349	17
ERR3684451	ERR4993351	19
ERR3684451	ERR4993356	2
ERR3684451	ERR4993357	20
ERR3684451	ERR5206984	8
ERR3684451	ERR5206990	3
ERR3684451	ERR5207007	5
ERR3684451	ERR5207010	1
ERR3684451	ERR5207012	4
ERR3684451	ERR5207018	2
ERR3684451	ERR5207020	18
ERR3684451	ERR5207026	3
ERR3684451	ERR5207027	3
ERR3684451	ERR5207031	2
ERR3684451	ERR5207032	1
ERR3684451	ERR5210563	22
ERR3684451	ERR5210576	2
ERR3684451	ERR5210577	3
ERR3684451	ERR5210582	1
ERR3684451	ERR7123576	24
ERR3684451	GCA_000008605.1_ASM860v1_genomic	26
ERR3684451	GCA_000017825.1_ASM1782v1_genomic	4
ERR3684451	GCA_000246755.1_ASM24675v1_genomic	165
ERR3684451	GCA_000246775.1_ASM24677v1_genomic	167
ERR3684451	GCA_000246795.1_ASM24679v1_genomic	173
ERR3684451	GCA_000246815.1_ASM24681v1_genomic	23
ERR3684451	GCA_000304295.1_ASM30429v1_genomic	4
ERR3684451	GCA_000387485.1_ASM38748v1_genomic	172
ERR3684451	GCA_000604125.1_ASM60412v1_genomic	23
ERR3684451	GCA_000813285.1_ASM81328v1_genomic	175
ERR3684451	GCA_001655275.1_ASM165527v1_genomic	23
